Rank,Handle,Rating,Max Rating,Contribution
legendary grandmaster,jiangly,3831,3904,0
legendary grandmaster,orzdevinwang,3529,3697,0
legendary grandmaster,ecnerwala,3446,3668,0
legendary grandmaster,ksun48,3373,3654,0
legendary grandmaster,turmax,3352,3352,0
legendary grandmaster,Kevin114514,3341,3341,0
legendary grandmaster,Rewinding,3320,3659,0
legendary grandmaster,LJC00118,3305,3305,0
legendary grandmaster,hos.lyric,3237,3338,0
legendary grandmaster,maroonrk,3204,3650,0
legendary grandmaster,dXqwq,3188,3188,0
legendary grandmaster,Ormlis,3168,3410,0
legendary grandmaster,maspy,3129,3385,0
legendary grandmaster,peti1234,3112,3112,0
legendary grandmaster,BurnedChicken,3105,3255,0
legendary grandmaster,potato167,3093,3209,0
legendary grandmaster,Sugar_fan,3090,3090,0
legendary grandmaster,275307894a,3083,3083,0
legendary grandmaster,crazy_sea,3073,3146,0
legendary grandmaster,JoesSR,3070,3070,0
legendary grandmaster,skip2004,3052,3075,0
legendary grandmaster,dorijanlendvaj,3049,3204,0
legendary grandmaster,kotatsugame,3043,3094,0
legendary grandmaster,jiangbowen,3035,3035,0
legendary grandmaster,arvindf232,3007,3081,0
international grandmaster,Rubikun,2995,3033,0
international grandmaster,xuanxuan001,2988,2988,0
international grandmaster,Swistakk,2984,3105,0
international grandmaster,Maksim1744,2980,3376,0
international grandmaster,-Eternity-,2971,2971,0
international grandmaster,yuto1115,2971,3051,0
international grandmaster,244mhq,2968,3278,0
international grandmaster,noimi,2962,3353,0
international grandmaster,StarSilk,2946,3132,0
international grandmaster,qiuzx,2924,2957,0
international grandmaster,Karuna,2917,2957,0
international grandmaster,hitonanode,2914,3182,0
international grandmaster,Endagorion,2911,3313,0
international grandmaster,shiomusubi496,2909,2909,0
international grandmaster,hank55663,2904,3064,0
international grandmaster,oleh1421,2903,2996,0
international grandmaster,neal,2900,3147,0
international grandmaster,jeroenodb,2894,2999,0
international grandmaster,le0n,2892,2905,0
international grandmaster,A_G,2887,3279,0
international grandmaster,femboy-wannabe,2883,2892,0
international grandmaster,Adam_GS,2876,2896,0
international grandmaster,bashkort,2868,2887,0
international grandmaster,Amoo_Safar,2867,2982,0
international grandmaster,dog_of_Nesraychan,2859,2902,0
